Date,Outlook,Temperature,Humidity,Windy,Result,TempHumid,HeatIndex,DateTime
07-01-2014,sunny,85,85,False,Don't Play,170,98.0046312500001,2014-07-01
07-02-2014,sunny,80,90,True,Don't Play,170,84.47439999999996,2014-07-02
07-03-2014,overcast,83,78,False,Play,161,89.66991075999985,2014-07-03
07-04-2014,rain,70,96,False,Play,166,62.84702400000019,2014-07-04
07-05-2014,rain,68,80,False,Play,148,69.08977600000006,2014-07-05
07-06-2014,rain,65,70,True,Don't Play,135,73.66802499999999,2014-07-06
07-07-2014,overcast,64,65,True,Play,129,75.9871160000001,2014-07-07
07-08-2014,sunny,72,95,False,Don't Play,167,66.2473960000001,2014-07-08
07-09-2014,sunny,69,70,False,Play,139,72.84364900000003,2014-07-09
07-10-2014,rain,75,80,False,Play,155,74.55700000000012,2014-07-10
07-11-2014,sunny,75,70,True,Play,145,75.777625,2014-07-11
07-12-2014,overcast,72,90,True,Play,162,68.10694399999996,2014-07-12
07-13-2014,overcast,81,75,False,Play,156,84.52344124999973,2014-07-13
07-14-2014,rain,71,80,True,Don't Play,151,70.48698400000002,2014-07-14
